stock_1,stock_2,mi_value
CTAS,IT,2.4058156661805903
CTAS,TJX,2.4057791399805484
INTU,ISRG,2.405546360547593
GWW,RSG,2.405340318295816
CMG,MSFT,2.405228497187058
FICO,ICE,2.404841417910676
CTAS,LRCX,2.404793744473677
ANET,ARES,2.40465289357107
AXP,HLT,2.4046429316978517
NVR,RSG,2.4045644650640767
APH,JBL,2.40449459335754
CTAS,ODFL,2.404394253308923
AFL,TT,2.4043760249460586
BR,CDNS,2.404193453235206
CPRT,ORCL,2.404028468811658
ACN,INTU,2.4035941338116302
BRO,ICE,2.403536001912917
AJG,UNH,2.4035074078982515
TRV,WRB,2.4034653100675007
SYK,V,2.403449384947577
CTAS,NOW,2.4031528396765705
CPRT,VRSK,2.4031406086587337
AXP,JPM,2.4030734877886624
AME,DOV,2.402954698061593
APH,BR,2.4028827450953125
BR,NVDA,2.402864750418818
APH,BRK-B,2.402766024413324
MSCI,SNPS,2.402693467160327
CDNS,GRMN,2.402689692679961
MSI,SYK,2.402562080535629
BR,WM,2.402479490527635
AME,MSI,2.402466148033313
AJG,TPL,2.402405341706533
AEE,DTE,2.402211749620995
MPWR,MSI,2.402178779001569
MSI,WMT,2.4019031790954135
APH,TDG,2.4016747607249895
COST,MA,2.4016563500310886
AJG,SHW,2.401268885304733
AJG,AXP,2.4011093296066957
ORLY,WM,2.401076246252435
AFL,WM,2.401002689780892
MSCI,MSI,2.4009739954874565
AAPL,KLAC,2.4008763993409077
HLT,MSFT,2.400704453178107
BR,INTU,2.4003483709133127
ICE,MSFT,2.400222451216446
DECK,MSI,2.4000759859331025
MRSH,WRB,2.399735012138844
ANET,RSG,2.3996656450170093
AMZN,NVDA,2.3995963670600076
CTAS,HLT,2.3995854821827445
CPRT,FISV,2.399409215071443
MCD,MSFT,2.399294272770666
CTAS,ITW,2.39924689996014
ICE,V,2.399242982985135
AJG,CB,2.3991512574198737
BSX,CTAS,2.399077694644924
ARES,WM,2.398806751738846
LIN,NVDA,2.397668210871144
GOOG,KLAC,2.397500980356078
APO,ETN,2.3974680773987096
ANET,SNPS,2.3973536586248048
ANET,CDNS,2.3966424871375303
FIX,WM,2.396449604440148
